"date","venue"
"December 15, 1994","Los Angeles Sports Arena"
"December 16, 1994","Los Angeles Sports Arena"
"December 18, 1994","Los Angeles Sports Arena"
"December 19, 1994","Los Angeles Sports Arena"
"February 19, 1995","Delta Center"
"February 20, 1995","Delta Center"
"February 21, 1995","Delta Center"
"February 24, 1995","Oakland Coliseum Arena"
"February 25, 1995","Oakland Coliseum Arena"
"February 26, 1995","Oakland Coliseum Arena"
"March 17, 1995","The Spectrum"
"March 18, 1995","The Spectrum"
"March 19, 1995","The Spectrum"
"March 22, 1995","Charlotte Coliseum"
"March 23, 1995","Charlotte Coliseum"
"March 24, 1995","Charlotte Coliseum"
"March 26, 1995","The Omni"
"March 27, 1995","The Omni"
"March 29, 1995","The Omni"
"March 30, 1995","The Omni"
"April 1, 1995","The Pyramid"
"April 2, 1995","The Pyramid"
"April 4, 1995","Birmingham Jefferson Convention Complex Coliseum"
"April 5, 1995","Birmingham Jefferson Convention Complex Coliseum"
"April 7, 1995","Tampa Stadium"
"May 19, 1995","Sam Boyd Silver Bowl"
"May 20, 1995","Sam Boyd Silver Bowl"
"May 21, 1995","Sam Boyd Silver Bowl"
"May 24, 1995","Seattle Center Memorial Stadium"
"May 25, 1995","Seattle Center Memorial Stadium"
"May 26, 1995","Seattle Center Memorial Stadium"
"May 28, 1995","Portland Meadows"
"May 29, 1995","Portland Meadows"
"June 2, 1995","Shoreline Amphitheatre"
"June 3, 1995","Shoreline Amphitheatre"
"June 4, 1995","Shoreline Amphitheatre"
"June 15, 1995","Franklin County Field"
"June 18, 1995","Giants Stadium"
